NO;Kode;kabupaten;Res_fpafgwc$cluster
1;1101;Simeulue;3
2;1102;Aceh Singkil;2
3;1103;Aceh Selatan;2
4;1104;Aceh Tenggara;2
5;1105;Aceh Timur;2
6;1106;Aceh Tengah;2
7;1107;Aceh Barat;2
8;1108;Aceh Besar;2
9;1109;Pidie;2
10;1110;Bireuen;2
11;1111;Aceh Utara;2
12;1112;Aceh Barat Daya;2
13;1113;Gayo Lues;2
14;1114;Aceh Tamiang;2
15;1115;Nagan Raya;2
16;1116;Aceh Jaya;3
17;1117;Bener Meriah;2
18;1118;Pidie Jaya;2
19;1171;Banda Aceh;3
20;1172;Kota Sabang;3
21;1173;Kota Langsa;2
22;1174;Kota Lhokseumawe;2
23;1175;Kota Subulussalam;2
24;1201;Nias;3
25;1202;Mandailing Natal;2
26;1203;Tapanuli Selatan;2
27;1204;Tapanuli Tengah;2
28;1205;Tapanuli Utara;2
29;1206;Toba Samosir;2
30;1207;Labuhan Batu;3
31;1208;Asahan;3
32;1209;Simalungun;3
33;1210;Dairi;2
34;1211;Karo;2
35;1212;Deli Serdang;3
36;1213;Langkat;3
37;1214;Nias Selatan;1
38;1215;Humbang Hasundutan;2
39;1216;Pakpak Bharat;2
40;1217;Samosir;2
41;1218;Serdang Bedagai;3
42;1219;Batu Bara;3
43;1220;Padang Lawas Utara;2
44;1221;Padang Lawas;2
45;1222;Labuhan Batu Selatan;3
46;1223;Labuhan Batu Utara;3
47;1224;Nias Utara;1
48;1225;Nias Barat;1
49;1271;Kota Sibolga;4
50;1272;Kota Tanjung Balai;4
51;1273;Kota Pematang Siantar;4
52;1274;Kota Tebing Tinggi;3
53;1275;Kota Medan;3
54;1276;Kota Binjai;3
55;1277;Kota Padang Sidempuan;2
56;1278;Kota Gunungsitoli;2
57;1301;Kepulauan Mentawai;3
58;1302;Pesisir Selatan;2
59;1303;Solok;2
60;1304;Sijunjung;2
61;1305;Tanah Datar;3
62;1306;Padang Pariaman;2
63;1307;Agam;2
64;1308;Lima Puluh Kota;2
65;1309;Pasaman;2
66;1310;Solok Selatan;2
67;1311;Dharmasraya;3
68;1312;Pasaman Barat;2
69;1371;Kota Padang;3
70;1372;Kota Solok;4
71;1373;Kota Sawah Lunto;3
72;1374;Kota Padang Panjang;3
73;1375;Kota Bukittinggi;3
74;1376;Kota Payakumbuh;4
75;1377;Kota Pariaman;3
76;1401;Kuantan Singingi;3
77;1402;Indragiri Hulu;3
78;1403;Indragiri Hilir;3
79;1404;Pelalawan;3
80;1405;SIAK;3
81;1406;Kampar;3
82;1407;Rokan Hulu;3
83;1408;Bengkalis;3
84;1409;Rokan Hilir;3
85;1410;Kepulauan Meranti;3
86;1471;Kota Pekanbaru;3
87;1473;Kota Dumai;3
88;1501;Kerinci;3
89;1502;Merangin;3
