"","NO","Kode","kabupaten","Res_tlbofgwc$cluster"
"1",1,1101,"Simeulue",4
"2",2,1102,"Aceh Singkil",4
"3",3,1103,"Aceh Selatan",3
"4",4,1104,"Aceh Tenggara",3
"5",5,1105,"Aceh Timur",3
"6",6,1106,"Aceh Tengah",4
"7",7,1107,"Aceh Barat",4
"8",8,1108,"Aceh Besar",4
"9",9,1109,"Pidie",3
"10",10,1110,"Bireuen",3
"11",11,1111,"Aceh Utara",4
"12",12,1112,"Aceh Barat Daya",3
"13",13,1113,"Gayo Lues",3
"14",14,1114,"Aceh Tamiang",2
"15",15,1115,"Nagan Raya",3
"16",16,1116,"Aceh Jaya",4
"17",17,1117,"Bener Meriah",4
"18",18,1118,"Pidie Jaya",4
"19",19,1171,"Banda Aceh",4
"20",20,1172,"Kota Sabang",4
"21",21,1173,"Kota Langsa",2
"22",22,1174,"Kota Lhokseumawe",4
"23",23,1175,"Kota Subulussalam",3
"24",24,1201,"Nias",1
"25",25,1202,"Mandailing Natal",3
"26",26,1203,"Tapanuli Selatan",3
"27",27,1204,"Tapanuli Tengah",3
"28",28,1205,"Tapanuli Utara",3
"29",29,1206,"Toba Samosir",2
"30",30,1207,"Labuhan Batu",1
"31",31,1208,"Asahan",2
"32",32,1209,"Simalungun",2
"33",33,1210,"Dairi",2
"34",34,1211,"Karo",4
"35",35,1212,"Deli Serdang",2
"36",36,1213,"Langkat",1
"37",37,1214,"Nias Selatan",3
"38",38,1215,"Humbang Hasundutan",3
"39",39,1216,"Pakpak Bharat",3
"40",40,1217,"Samosir",3
"41",41,1218,"Serdang Bedagai",1
"42",42,1219,"Batu Bara",1
"43",43,1220,"Padang Lawas Utara",3
"44",44,1221,"Padang Lawas",1
"45",45,1222,"Labuhan Batu Selatan",1
"46",46,1223,"Labuhan Batu Utara",1
"47",47,1224,"Nias Utara",3
"48",48,1225,"Nias Barat",3
"49",49,1271,"Kota Sibolga",2
"50",50,1272,"Kota Tanjung Balai",2
"51",51,1273,"Kota Pematang Siantar",2
"52",52,1274,"Kota Tebing Tinggi",2
"53",53,1275,"Kota Medan",2
"54",54,1276,"Kota Binjai",2
"55",55,1277,"Kota Padang Sidempuan",2
"56",56,1278,"Kota Gunungsitoli",4
"57",57,1301,"Kepulauan Mentawai",1
"58",58,1302,"Pesisir Selatan",3
"59",59,1303,"Solok",1
"60",60,1304,"Sijunjung",1
"61",61,1305,"Tanah Datar",4
"62",62,1306,"Padang Pariaman",4
"63",63,1307,"Agam",4
"64",64,1308,"Lima Puluh Kota",1
"65",65,1309,"Pasaman",1
"66",66,1310,"Solok Selatan",2
"67",67,1311,"Dharmasraya",1
"68",68,1312,"Pasaman Barat",3
"69",69,1371,"Kota Padang",2
"70",70,1372,"Kota Solok",2
"71",71,1373,"Kota Sawah Lunto",2
"72",72,1374,"Kota Padang Panjang",2
"73",73,1375,"Kota Bukittinggi",2
"74",74,1376,"Kota Payakumbuh",2
"75",75,1377,"Kota Pariaman",4
"76",76,1401,"Kuantan Singingi",1
"77",77,1402,"Indragiri Hulu",1
"78",78,1403,"Indragiri Hilir",1
"79",79,1404,"Pelalawan",1
"80",80,1405,"SIAK",2
"81",81,1406,"Kampar",1
"82",82,1407,"Rokan Hulu",1
"83",83,1408,"Bengkalis",1
"84",84,1409,"Rokan Hilir",1
"85",85,1410,"Kepulauan Meranti",1
"86",86,1471,"Kota Pekanbaru",2
"87",87,1473,"Kota Dumai",1
"88",88,1501,"Kerinci",2
"89",89,1502,"Merangin",1
"90",90,1503,"Sarolangun",1
"91",91,1504,"Batang Hari",1
"92",92,1505,"Muaro Jambi",1
"93",93,1506,"Tanjung Jabung Timur",1
"94",94,1507,"Tanjung Jabung Barat",1
"95",95,1508,"Tebo",1
